,公司名稱,公司類別描述,職缺名稱,職務性質,職務內容,更新日期,職缺連結,公司地址,地區,經歷,學歷
42,倫發科技有限公司,電腦系統整合服務業,開發運維工程師(Python) DevOps Engineer,1,"1.閱讀英文API文件
2.在Linux環境下用Python開發網頁應用
3.負責REST API 的開發和迭代，持續優化產品的效能和質量
4.參與.討論.協助系統架構設計
5.協助建置CI/CD流程，提升交付速度與穩定性
",3/23,https://www.104.com.tw/job/70v91?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市內湖區,台北市內湖區,2年以上,大學
43,新加坡商蝦皮娛樂電商有限公司台灣分公司,多媒體相關業,Python Backend Developer 後端工程師,1,"1. Design and implement web back-end services using Python
2. Write high-quality, clean, maintainable code using",3/22,https://www.104.com.tw/job/72lx7?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市信義區菸廠路88號,台北市信義區,2年以上,大學
44,好好投資科技股份有限公司,網際網路相關業,Backend Engineer(需熟Python、RESTful API ),1,"【好好要求】
1.具獨立以 Python開發 Web 後端的經驗，並熟悉相關Framework (EX：Flask or Django等)。
2.具備網站爬蟲實戰經驗(EX：懂如何不擾對象站，並能排除爬取阻礙)。
3.擁有資料庫 Schema 獨",3/22,https://www.104.com.tw/job/5572i?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市中正區南海路1號13樓(金融科技創新園區),台北市中正區,1年以上,專科
45,中塑油品股份有限公司,化學原料製造業,Python programmer/data scientist for quantitative trading,1,"Python programmer/data scientist for quantitative trading
Seeking junior multi-asset strategist/developer/data scientist",3/17,https://www.104.com.tw/job/70dmc?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市內湖區港墘路200號5樓,台北市內湖區,經歷不拘,碩士
46,環球誠信有限公司,電腦軟體服務業,資深Python 後端工程師,1,"1. 負責平台後端開發、維護及優化。
2. 負責平台與第三方服務之串接。
3. 熟悉RESTful API使用。
4. 具備Python使用經驗。
5. 具備MySQL使用經驗。
6. 具備Git/Gitflow操作，包含branch、",3/19,https://www.104.com.tw/job/77uyp?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,高雄市鼓山區明華路315號16樓之1,高雄市鼓山區,5年以上,大學
47,聯成電腦有限公司(聯成電腦/聯成外語),補習班,Python程式線上直播課程講師,2,"目前我們正在招募線上直播程式講師，希望對直播程式教學有熱情，喜歡在直播教室線上和學員互動，舉辦實體Workshop技術交流會。
職務說明： 
主要教授Python程式語言，運用在量化投資、量化分析領域。
配合度高可長期授課，授課專業能力佳，",3/24,https://www.104.com.tw/job/6nu69?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市大安區忠孝東路四段178號4樓,台北市大安區,2年以上,專科
48,香港商奇藝香港有限公司台北辦事處,網際網路相關業,Python自動化工程師,1,"愛奇藝是一個正向海外發展的國際化公司，目前多國都可使用愛奇藝國際模式觀看視頻。期待你的加入，讓我們為國際化的產品品質把關。

目前測試部門分為三種不同的職位：軟體測試工程師、軟體測試管理工程師、Python自動化工程師

Python自動",3/18,https://www.104.com.tw/job/6ju86?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市內湖區瑞光路550號7樓,台北市內湖區,1年以上,大學
49,文境資科股份有限公司,專門設計相關業,Python Developer,1,"1. 協助完善自然語言處理框架
2. 協助建置自然語言處理各功能的的自動化測試(未來預計導入CI／CD流程)
3. 協助將組內的研究團隊成果加入公司的自然語言處理框架
4. 協助與合作夥伴的產品整合規劃",3/18,https://www.104.com.tw/job/6x67u?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市大安區,台北市大安區,1年以上,大學
50,百師商務有限公司,網際網路相關業,Raspberry Pi + Python 聲紋/影像辨識實習工程師,1,"工作內容

專案方向為研究 Raspberry Pi 搭配 Home Assistant 
做智能家居系統

1:影像辨識
主要用於判讀 sensor 傳回的影像作人物辨識

2:聲紋比對
比對輸入的語音後執行特定腳本

",3/23,https://www.104.com.tw/job/72my0?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市大同區西寧北路78號8樓,台北市大同區,經歷不拘,專科
51,百師商務有限公司,網際網路相關業,Raspberry Pi + Python 聲紋/影像辨識實習工程師,2,"工作內容

專案方向為研究 Raspberry Pi 搭配 Home Assistant 
做智能家居系統

1:影像辨識
主要用於判讀 sensor 傳回的影像作人物辨識

2:聲紋比對
比對輸入的語音後執行特定腳本


",3/23,https://www.104.com.tw/job/72my1?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市大同區西寧北路78號8樓,台北市大同區,經歷不拘,專科
